id,label,unit,definition,definitionSource,ACLTag
damag_expo,Damage exponent in the standard DICE damage function,,Damage exponent in the standard DICE damage function. It represents the form of the relationship between temperature and economic damage.,,
damag_int,Damage intercept in standard DICE damage function,,Damage intercept in standard DICE damage function.,,
damag_quad,Damage quadratic term in standard DICE damage function,,Damage quadratic term in standard DICE damage function.,,
damage_constraint_factor,Damage constraint factor,,Factor applied to the damage constraint. Used for optimisation.,,
damage_df,Damage data,,"Estimated cost of the damage on environment, due to pollution.",,
damage_to_productivity,Damage to productivity,,"If True : productivity is impacted by environmental damage. If false, productivity is NOT impacted by environmental damage.",,
death_dict,Number of deaths,,Number of death per effect per year per age range.,,
death_rate_dict,Death rate,,Death rate per year per effect per age range.,,
death_rate_param,Death rate parameters,,Death rate equation parameters.,,
decline_rate_decarbo,Decline rate decarbonization per period,,Decline rate of decarbonization per period.,,
decline_rate_energy_productivity,Decline rate of energy productivity,,Decline rate of energy productivity.,,
decline_rate_land_emissions,Decline rate of land emissions per period,,Decline rate of land emissions per period.,,
decline_rate_tfp,Decline rate of total factor productivity (TFP),,Decline rate of total factor productivity (TFP).,,
deforestation_surface,Deforestation surface,Mha,Forest surface removed.,,
deforestation_surface_array,Deforestation surface array,Mha,Forest surface removed.,,
deforested_surface_ctrl,Deforested surface ctrl,Mha,Control point of forest surface removed. Used for optimisation.,,
deforested_surface_df,Forest surface evolution,Gha,Evolution of the forest surface over the years.,,
delta_co2_price,Delta CO2 price,,Delta of CO2 price.,,
delta_knowledge,Delta knowledge,,Parameter used to compute the % of litterate population in the world.,,
depreciation_capital,Depreciation capital,,Depreciation rate of capital stock.,,"CD - Business ratios, percentages"
design_space,Design Space,,"List of design variables with their values, boundaries and activation status. Used for optimisation.",,
design_space_last_ite,Design space last ite,,Data of design variable at the last iteration of the optimisation.,,
diet_df,Starting diet,kg/person/year,"Gives the starting diet, withe the quantity of food per person for one year. Each column represents a different type of food.",,
diff_norm,Diff norm,,Normalised difference between energy investment and macroeconomic energy investment.,,
discounted_utility_ref,Discounted utility ref,-,Reference of discounted utility. Used for optimisation.,,
economics_detail_df,Economics detail df,,Detailed data of economics outputs.,,
economics_df,Economics Data,,Main data of economic output.,,
electricity_CoalGen_array_mix,Electricity CoalGen array mix,%,Mix data concerning CoalGen.,,
electricity_CombinedCycleGasTurbine_array_mix,Electricity CombinedCycleGasTurbine array mix,%,Mix data concerning CombinedCycleGasTurbine.,,
electricity_GasTurbine_array_mix,Electricity GasTurbine array mix,%,Mix data concerning GasTurbine.,,
electricity_Geothermal_array_mix,Electricity Geothermal array mix,%,Mix data concerning Geothermal.,,
electricity_Hydropower_array_mix,Electricity Hydropower array mix,%,Mix data concerning Hydropower.,,
electricity_Nuclear_array_mix,Electricity Nuclear array mix,%,Mix data concerning Nuclear.,,
electricity_RenewableElectricitySimpleTechno_array_mix,Electricity RenewableElectricitySimpleTechno array mix,%,Mix data concerning RenewableElectricitySimpleTechno.,,
electricity_SolarPv_array_mix,Electricity SolarPv array mix,%,Mix data concerning SolarPv.,,
electricity_SolarThermal_array_mix,Electricity SolarThermal array mix,%,Mix data concerning SolarThermal.,,
electricity_WindOffshore_array_mix,Electricity WindOffshore array mix,%,Mix data concerning WindOffshore.,,
electricity_WindOnshore_array_mix,Electricity WindOnshore array mix,%,Mix data concerning WindOnshore.,,
emissions_control_rate,Emissions control rate,,Fraction of emissions that are reduced or controlled by a climate change policy,http://webdice.rdcep.org/glossary/emissions_control_rate,ABATAA - mass
emissions_df,Emissions data,,Data concerning CO2 emission.,,
energy_emis_share,CO2 emissions from energy usage share,,Share of C02 emissions from energy usage.,,ADBBAA - active energy
energy_factor,Energy factor,,Parameter of WITNESS production function: value by which we multiply the energy supply in the production function. ,,
energy_investment,Energy Investment by year,G$,Dataframe going from macroeconomics to energy mix for MDA.,,
energy_investment_macro,Energy investment macro,,Energy investment.,,
energy_investment_wo_renewable,Energy invests wo renewable,G$,Energy investments without renewable.,,
energy_list,List of Energies,,List of energies considered.,,
energy_mean_price,Energy mean price,$/MWh,Energy mean price.,,
energy_production,Energy Production Quantity,TWh,Global predicted energy production for primary energy resources (from IEA database).,,ABBBAE - mechanical energy
eq_temp_impact,Equilibrium temp impact ,,Equilibrium temp impact  in atmospheric temperature equation.,,
exp_cont_f,exp cont f,,Parameter to compute damage.,,
fish_calories_per_day,fish calories per day,kcal,number of calories coming from fish consumed per day per person.,,
food_land_surface_df,Food land surface ,Gha,Food land surface taken for each type.,,
food_land_surface_percentage_df,Food land surface percentage,%,Food land surface percentage taken for each type.,,
forcing_eq_co2,Forcings of equilibrium CO2 doubling,,Forcings of equilibrium CO2 doubling in atmopshperic temperature change equation.,,
forest_investment,Reforestation investment,G$,Investment dedicated to reforestation.,,
forest_surface_detail_df,Forest surface detailed df,Gha,Detail data about forest surface evolution.,,
forest_surface_df,Forest surface df,Gha,Evolution of forest surface data.,,
formulation,Formulation,,Problem formulation.,,
fossil_FossilSimpleTechno_array_mix,Fossil FossilSimpleTechno array mix,%,Mix data concerning FossilSimpleTechno.,,
frac_damage_prod,Productivity Damage Fraction,,The fraction of damage applied to productivity. How much the productivity is impacted by climate damage. ,,
gamma,Gamma,,Weigh parameter in the problem formulation.,,
global_investment_constraint,Global investment constraint,,Constraint on global investm. Used for optimisation.,,
gr_base_carbonprice,Growth rate of base carbon price,,Growth rate of the base carbon price.,,
gwp20_objective,GWP20 objective,,"Value of the GWP over 20 years objective. A value of 1 indicates that the GWP20 is exactly the one of the pre-industrial era.",,
gwp100_objective,GWP100 objective,,"Value of the GWP over 100 years objective. A value of 1 indicates that the GWP100 is exactly the one of the pre-industrial era.",,
hi_per_capita_conso,hi per capita conso,k$,Conso data concerning per.,,
hundred_forcing_nonco,2100 forcings of non-CO2 GHG ,,2100 forcings of non-CO2 GHG. Parameter used in forcing equation. ,,
hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,Hydrogen gaseous hydrogen Electrolysis AWE array mix,%,Mix data concerning gaseous_hydrogen_Electrolysis_AWE.,,
hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,Hydrogen gaseous hydrogen Electrolysis PEM array mix,%,Mix data concerning gaseous_hydrogen_Electrolysis_PEM.,,
hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,Hydrogen gaseous hydrogen Electrolysis SOEC array mix,%,Mix data concerning gaseous_hydrogen_Electrolysis_SOEC.,,
hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,Hydrogen gaseous hydrogen WaterGasShift array mix,%,Mix data concerning gaseous_hydrogen_WaterGasShift.,,
hydrogen_liquid_hydrogen_HydrogenLiquefaction_array_mix,Hydrogen liquid hydrogen HydrogenLiquefaction array mix,%,Mix data concerning liquid_hydrogen_HydrogenLiquefaction.,,
hydrotreated_oil_fuel_HefaDecarboxylation_array_mix,Hydrotreated oil fuel HefaDecarboxylation array mix,%,Mix data concerning oil_fuel_HefaDecarboxylation.,,
hydrotreated_oil_fuel_HefaDeoxygenation_array_mix,Hydrotreated oil fuel HefaDeoxygenation array mix,%,Mix data concerning oil_fuel_HefaDeoxygenation.,,
init_base_carbonprice,Initial value of base carbon price,,Initial value of base carbon price. The carbon price of DICE base case,,CC - Costs
