id,label,unit,definition,definitionSource,ACLTag
total_capital_df,Total Capital,G$,Aggregation of all total capitals in WITNESS,,
total_emissions_damage_ref,Total emissions damage ref,Gt,Reference value concerning emissions.,,
total_emissions_ref,Total emissions ref,GtCO2,Dataframe going from macroeconomics to total_emissions mix for MDA.,,
total_food_land_surface,Total food land surface,Gha,Total land surface taken by food (crops and lifestock).,,
total_investment_share_of_gdp,Total investment share of GDP ,%,Percentage of GDP that is invested per year. ,,
tp_a1,Tipping point A1,,Tipping point  parameter.,,
tp_a2,Tipping point A2,,Tipping point  parameter.,,
tp_a3,Tipping point A3,,Tipping point  parameter.,,
tp_a4,Tipping point A4,,Tipping point  parameter.,,
transfer_lower,Transfer coefficient for lower level ,,Transfer coefficient for lower level in the ocean's temperature evolution equation.,,
transfer_upper,Transfer coefficient upper to lower stratum,,Transfer coefficient upper to lower stratum. This parameter is used in the atmospheric temperature evolution equation. ,,
up_tatmo,Upper bound for atmospheric temperature,,Upper bound for atmospheric temperature evolution in degrees celsius above preindustrial.,,
up_tocean,Upper bound for oceans temperature,,Upper bound for oceans temperature evolution in degrees celsius above preindustrial.,,
updated_diet_df,Final diet,kg/person/year,"Give the final diet of food for each year, in kg/person/year of food.",,
upper_knowledge,Upper knowledge,,Parameter to compute the % of litterate population.,,
use_stock,Use stock,million_tonnes,Stock usage.,,
utility_detail_df,Utility detail df,,Detailed data of utility outputs.,,
utility_df,Utility Data,,Data concerning utility.,,
welfare_obj_option,Welfare obj option,,Option on welfare objective computation.,,
welfare_objective,Welfare objective,,"Value of the welfare objective. Lower is the value, better the objective is accomplished.",,
white_meat_percentage,White meat calory percentage,%,Percentage of the white meat calories quantity by person and by year.,,
white_meat_percentage_ctrl,White meat calory percentage Ctrl,%,Ctrl points of the percentage of the white meat calories quantity by person and by year.,,
write_xvect,Write xvect,,The value of the current point of optimisation.,,
year_end,Ending year,year,Final year of the study.,,D - Nominal property
year_start,Starting year,year,Initial year of the study.,,D - Nominal property
co2_emissions_ccus_Gt,CO2 captured and stored by CCUS,GtCO2,Quantity of CO2 captued by CCUS. This value take into account the captured CO2 and the capacity to store it.,,
CO2_emissions_by_use_sources,Sources of CO2 emitted,GtCO2,This sum up the sources of CO2 emissions. ,,
CO2_emissions_by_use_sinks,Sinks of CO2,GtCO2,This sum up the sinks of CO2. This represents the CO2 removed from atmosphere.,,
co2_emissions_needed_by_energy_mix,CO2 needed by energy mix,GtCO2,Quantity of CO2 needed for some tehcnologies of energy production.,,
co2_for_food,CO2 for food,MtCO2,Quantity of CO2 due to food production.,,
capital_utilisation_ratio,Capital utilisation ratio,,Ratio of utilisation of capital stock ,,
energy_eff_k,Energy efficiency k ,,Parameter of energy efficiency equation (logistic function).,,
energy_eff_cst,Energy efficiency constant,,,,
energy_eff_xzero,Energy efficiency x0,,,,
energy_eff_max,Energy efficiency L,,,,
output_alpha, Output capital intensity parameter,,Parameter of the production function:  the share parameter reflecting the capital intensity in production. 0<alpha<1 ,,
output_gamma,Output substitution parameter,,Parameter of the production function: substitution parameter ,,
employment_a_param,Employment rate recovery parameter a ,,Parameter of the employment rate recovery function,,
employment_power_param,Employment rate recovery param exponent,,,,
employment_rate_base_value,Base employment rate,,Employment rate value outside of COVID-19 recovery phase. ,,
pc_consumption_constraint,Per capita consumption constraint,,Per capita consumption constraint.,,
workforce_df,Workforce data ,million of people,Number of people in the workforce per year.,,
capital_df,Capital data ,,"Capital data: contains capital total, non energy capital, usable capital in trillion of dollars, e_max value and energy efficiency per year.",,
emax_enet_constraint,E_max constraint,,Constraint for E_max. Used for optimization. E_max - Net energy > 0 ,,
managed_wood_initial_prod,Managed wood initial production,Twh,Initial production of biomass by managed wood technology.,,
managed_wood_initial_surface,Managed wood initial surface,Gha,Initial surface dedicated to managed wood technology. Default value at 2020 is 1.15Gha.,,
managed_wood_invest_before_year_start,Managed wood investment before year start,G$,Investment in managed wood technology before year start.,,
managed_wood_investment,Managed wood investment,G$,Investment in managed wood over the years.,,
unmanaged_wood_initial_prod,Unmanaged wood initial production,Twh,Initial production of biomass by unmanaged wood technology.,,
unmanaged_wood_initial_surface,Unmanaged wood initial surface,Gha,Initial surface dedicated to unmanaged wood technology. Default value at 2020 is 0.1Gha.,,
unmanaged_wood_invest_before_year_start,Unmanaged wood investment before year start,G$,Investment in unmanaged wood technology before year start.,,
unmanaged_wood_investment,Unmanaged wood investment,G$,Investment in unmanaged wood over the years.,,
managed_wood_df,Managed wood data,,Different data and result computed about managed wood.,,
unmanaged_wood_df,Unmanaged wood data,,Different data and result computed about unmanaged wood.,,
biomass_dry_detail_df,Biomass Dry detailed data,,Different data about biomass dry production and price.,,
biomass_dry_df,Biomass dry data,,Important data about biomass dry that are used by other models.,,
transport_cost,Transport cost,$/ton,Cost of transport of material in $ per tons.,,
margin,Margin,,Factor applied to the total price to take into account commercial margin.,,
agri_capital_techno_list,Agriculture techno list,,List of technologies of agriculture that lost capital.,,
techno_capital,Techno Capital,G$,Capital of the considered technology over the year.,,
non_use_capital,Non use capital,G$,Non use capital of the considered technology.,,
non_use_capital_cons_limit,Non use capital constraint limit,G$,Non use capital contraint limit. Used for optimization,,
non_use_capital_cons_ref,Non use capital constraint reference,G$,Non use capital contraint reference. Used for optimization,,
max_capital_utilisation_ratio,Max capital utilisation ratio,,Maximum rate of utilisation of capital ,,
production_df,Production df,T$,Output and output net of damage over the years.,,
growth_rate_df,Growth rate df,,Output net of damage growth rate over the years.,,
detailed_capital_df,Detailed Capital df ,,"Capital, usable capital, energy efficiency and E_max over the years. ",,
capital_df,Capital df,T$,Capital and usable capital per year. ,,
productivity_df,Productivity df,,Productivity and productivity growth rate over years. ,,
sector_investment,Sector investment df,T$,Investment in sector per year. ,,
historical_gdp,Historical output ,T$,Dataframe with historical data for output in T$ used for fitting of production functions,,
historical_capital,Historical capital,T$,Dataframe with historical data for capital in T$ used for fitting of production functions,,
other_land_CO2_emissions,Other Land Use and Change Co2 emissions,GtCO2,"Value of the CO2 emissions of land use and change. This does not include deforestation and forest sequestration, emission from crop and food development",,
data_for_earlier_energy_eff,Data for earlier energy efficiency,,Dataframe to add extra data and years for energy efficiency fitting. Capital in T$ and energy in Pwh. ,,
weights_df,Weights dataframe,,Dataframe with weights by year for fitting. ,,
prod_function_fitting,Production function fitting,,Input to be activated if we fit the production function. When activated it adds outputs necessary for the fitting. ,,
vegetables_and_carbs_calories_per_day,vegetables and fruit calories per day,kcal,number of calories coming from vegetables and fruits consumed per day per person.,,
white_meat_calories_per_day,White meat calories per day,kcal,number of calories coming from white meat consumed per day per person.,,
workforce_share_per_sector,Workforce share per sector,%,Distribution of workforce per economic sector in %. One column per sector. Total of column should be 100. ,,
sector_list,Sectors list,,List of sectors,,
section_list,Sub-sectors list,,List of sub-sectors,,
section_gdp_percentage_df,GDP percentage per section,%,Percentage of the GDP for each sub-sector,,
section_gdp_df,GDP per section,T$,GDP values of sub-sectors in a sector,,
detailed_section_gdp,GDP per section,T$,GDP values of sub-sectors in all sectors,,
section_energy_consumption_percentage_df,Energy consumption percentage per section,%,Percentage of the energy consumption for each sub-sector,,
section_energy_consumption_df,Energy consumption per section,PWh,Energy consumption per section,,
energy_carbon_intensity_df,Energy carbon intensity,kgCO2Eq/kWh,Total CO2 equivalent emitted by energy mix divided by total energy production of energy mix,,
section_energy_emission_df,Energy emission per section,GtCO2eq,Energy emission per section,,
section_non_energy_emission_gdp_df,Non-energy emission per $GDP per section,tCO2eq/Million $GDP,Non energy CO2 emission per $GDP per section,,
section_non_energy_emission_df,Non-energy emission per section,GtCO2eq,Non-energy emission per section,,
section_emission_df,Total emission per section,GtCO2eq,Total emission per section,,
emission_df,Total emissions,GtCO2eq,Total emissions (sum of energy emission and non-energy emission),,
emission_detailed_df,Total emissions detailed,GtCO2eq,Energy/non-energy/total emissions,,
total_gdp_per_group_df, GDP per group, T$, GDP-PPP adjusted by group,,
percentage_gdp_group_df, GDP share per group,%, GDP-PPP adjusted share percentage by group,,
gdp_per_country_df, GDP per country, G$, GDP-PPP adjusted per country,,
section_non_energy_emissions_dict, Non energy emissions per section, GtCO2eq, Non energy emissions per section and per sector dictionary,,
section_energy_consumption_dict, Energy consumption per section, TWh, Energy consumption per section and per sector dictionary,,
section_energy_emissions_dict, Energy emissions per section, GtCO2eq, Energy emissions per section and per sector dictionary,,
sector_total_emissions_dict, Total emissions per section, GtCO2eq, Total emissions per section and per sector dictionary,,


