Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;World;Emissions|CH4;Mt CH4/yr;350,272;376,871;436,138;490,134;533,750;574,843;614,631;654,598;694,845;734,218;774,120;
GCAM4;SSP4-Baseline;World;Emissions|CH4;Mt CH4/yr;342,808;368,289;415,036;478,179;525,046;546,532;562,831;575,109;569,799;567,662;562,366;
IMAGE;SSP1-Baseline;World;Emissions|CH4;Mt CH4/yr;318,398;347,861;365,639;381,187;389,852;379,503;362,190;338,688;304,959;273,297;246,207;
MESSAGE-GLOBIOM;SSP2-Baseline;World;Emissions|CH4;Mt CH4/yr;334,271;326,531;345,346;373,120;393,495;411,433;425,590;433,325;436,418;434,125;422,185;
REMIND-MAGPIE;SSP5-Baseline;World;Emissions|CH4;Mt CH4/yr;334,100;370,680;407,709;477,146;570,473;630,661;644,562;646,021;620,756;582,778;540,025;
"© SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2023-05-04 15:15:40";;;;;;;;;;;;;;;;
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation;;;;;;;;;;;;;;;;
