Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;World;Diagnostics|MAGICC6|Forcing;W/m2;1,871;2,132;2,617;3,181;3,759;4,293;4,840;5,395;5,962;6,552;7,165;
GCAM4;SSP4-Baseline;World;Diagnostics|MAGICC6|Forcing;W/m2;1,871;2,135;2,634;3,183;3,757;4,286;4,777;5,254;5,706;6,083;6,425;
IMAGE;SSP1-Baseline;World;Diagnostics|MAGICC6|Forcing;W/m2;1,871;2,134;2,577;3,068;3,451;3,799;4,089;4,366;4,623;4,834;5,009;
MESSAGE-GLOBIOM;SSP2-Baseline;World;Diagnostics|MAGICC6|Forcing;W/m2;1,871;2,137;2,622;3,017;3,470;3,922;4,395;4,897;5,421;5,983;6,561;
REMIND-MAGPIE;SSP5-Baseline;World;Diagnostics|MAGICC6|Forcing;W/m2;1,871;2,138;2,709;3,336;4,054;4,837;5,640;6,479;7,307;8,053;8,698;
"© SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2023-05-04 17:33:23";;;;;;;;;;;;;;;;
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation;;;;;;;;;;;;;;;;
