Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;World;Consumption;billion US$2005/yr;33809,147;37619,939;51141,041;63820,124;73023,939;79955,967;85600,532;91401,288;96993,267;102821,000;109425,000;
IMAGE;SSP1-Baseline;World;Consumption;billion US$2005/yr;34531,700;40443,001;60738,121;94211,731;136888,199;181033,203;220858,795;259777,588;294820,892;326094,788;352095,306;
MESSAGE-GLOBIOM;SSP2-Baseline;World;Consumption;billion US$2005/yr;29260,070;35949,840;51099,360;82715,800;116057,100;153434,100;195843,800;247576,300;307536,200;379937,400;452564,800;
REMIND-MAGPIE;SSP5-Baseline;World;Consumption;billion US$2005/yr;29680,000;32950,000;47100,000;70600,000;107700,000;153300,000;204900,000;248400,000;315400,000;376900,000;439900,000;
"© SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb
 generated: 2023-05-04 15:31:55";;;;;;;;;;;;;;;;
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation;;;;;;;;;;;;;;;;
