variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
renewable.CleanEnergySimpleTechno.renewable_CleanEnergySimpleTechno_array_mix,"[1e-06, 2.128292662397511, 350.45995841525564, 331.12870418158417, 9.971246679520881, 356.1220176252508, 359.6762086079776, 390.15255375594603]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fossil.FossilSimpleTechno.fossil_FossilSimpleTechno_array_mix,"[700.1234003671151, 552.1455670664768, 441.2468697413814, 638.8074278141771, 211.72714307920765, 494.6261199188572, 458.5899428359782, 465.23050644151004]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.DirectAirCaptureTechno.carbon_capture_direct_air_capture_DirectAirCaptureTechno_array_mix,"[366.31694326424076, 386.16708319273755, 376.5867404514164, 333.3030297497698, 364.06793613149193, 19.359978551999664, 13.128108992490889, 31.683725620727316]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.FlueGasTechno.carbon_capture_flue_gas_capture_FlueGasTechno_array_mix,"[570.2800186903762, 491.1795468341316, 456.4423099064247, 397.96516332499453, 405.2338541118199, 48.45409203964462, 37.487782854927985, 54.388725802559385]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.CarbonStorageTechno.carbon_storage_CarbonStorageTechno_array_mix,"[348.74386787184244, 383.17579199706495, 372.7355375207844, 334.6046011761827, 357.0769374612959, 12.204969364577577, 9.402802008061563, 32.93386253316488]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[20.68534943812505, 20.25353162640762, 19.83576524292766, 19.102688011103798, 17.975211710801428, 17.267795562827246, 5.671329254314145, 4.998471483532793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 6.296746792141926, 17.701016046043176, 33.98434022000844]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.819999932631468, 6.86747984341956, 6.1202888921737655, 5.98333689941063, 6.081866880819592, 6.14566088607447, 6.819999998890103, 6.8199999995668605]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.949999991619155, 13.955906632640522, 12.910071264495253, 12.89303403243256, 12.905291452894492, 12.91322761541252, 13.949999999861923, 13.949999999946115]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.6500000457175064, 1.6188248309942823, 1.6147440842857155, 1.685635361800514, 1.641049184608502, 1.6500102236770982, 1.650082002568642, 1.6075659934489892]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
