variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
renewable.CleanEnergySimpleTechno.renewable_CleanEnergySimpleTechno_array_mix,"[92.92443639331881, 49.437838263394006, 780.4595068909153, 748.5618127218435, 1e-06, 691.9109700450712, 740.4686895600497, 501.2605819563766]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fossil.FossilSimpleTechno.fossil_FossilSimpleTechno_array_mix,"[583.9612715226564, 425.4860224313433, 249.19388221382016, 922.6888282746919, 165.328057359556, 757.1310060590067, 758.2950846993433, 628.8447475608831]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.DirectAirCaptureTechno.carbon_capture_direct_air_capture_DirectAirCaptureTechno_array_mix,"[1e-06, 1e-06, 147.27293913500554, 215.00672418112669, 994.189783469308, 10.923800414855748, 30.586033388104244, 24.933052448073706]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.FlueGasTechno.carbon_capture_flue_gas_capture_FlueGasTechno_array_mix,"[1050.461183699586, 968.5368257053318, 899.9457267305614, 859.5181214414822, 828.3689795864256, 773.633267507782, 435.04845375001844, 119.72614185695726]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.CarbonStorageTechno.carbon_storage_CarbonStorageTechno_array_mix,"[832.9734077873387, 856.8150792551307, 828.9831676992371, 807.9041301435686, 787.6716537984595, 1e-06, 1e-06, 21.71037277921452]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[32.932452515765725, 32.258802849955025, 31.60635656626139, 31.13755864531354, 30.936859908456583, 30.480978101171598, 5.288519958434416, 4.980365199893955]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[86.47747350203112, 104.099118176084, 51.57256226345763, 24.942353594134318, 9.206506280057893, 1e-06, 99.25364837576423, 29.859190191800725]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.819991781991095, 6.927301545756615, 5.344846441133733, 5.411647635595608, 5.371134500049167, 5.324324778849071, 6.819999893894444, 6.8199998980310195]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.949998977655465, 13.963348628952751, 11.651866205673064, 11.66017647140299, 11.65513651778168, 11.64931325032283, 13.949999986800226, 13.949999987314673]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.5205138570925196, 1.503258225375119, 1.5053301092408276, 1.561701439107074, 1.5959618071149018, 1.7236860510302456, 1.6674109728793285, 1.6012716114571217]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
