variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
renewable.CleanEnergySimpleTechno.renewable_CleanEnergySimpleTechno_array_mix,"[1.0000000171992667e-06, 39.57988049782372, 859.1435166886367, 826.9469031831943, 9.848499548567538, 798.4280224966345, 806.4004937978465, 609.3485311571541]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fossil.FossilSimpleTechno.fossil_FossilSimpleTechno_array_mix,"[535.6038767178735, 441.9838450224065, 361.76707765268884, 1042.8622192931607, 123.54230902168463, 835.6721473892592, 832.8636661311738, 901.5602056955843]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.DirectAirCaptureTechno.carbon_capture_direct_air_capture_DirectAirCaptureTechno_array_mix,"[1e-06, 1e-06, 197.49735803233193, 87.42563347884439, 949.6978152180948, 132.52898055429165, 84.039613473708, 63.58414569672369]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.FlueGasTechno.carbon_capture_flue_gas_capture_FlueGasTechno_array_mix,"[984.8332584807855, 935.0698247712555, 897.3985951379138, 867.6839002808487, 862.8534412488503, 848.5828731343347, 320.381354127674, 104.20324370254075]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.CarbonStorageTechno.carbon_storage_CarbonStorageTechno_array_mix,"[808.5642507840039, 867.4938412591118, 857.296843614609, 823.1982529876299, 822.8733749646884, 12.362610918564796, 9.447114328878449, 46.27582965747054]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[34.181335323578224, 33.59890926678585, 32.98177159157945, 32.397237021735386, 32.11697944620443, 31.652783190895168, 5.287918564187829, 4.980389082106764]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[2.753135790331126, 5.730391067014191, 7.592157861859616, 5.993289101285827, 21.192948828441747, 5.400449336317817, 108.5531219483446, 51.60898108132837]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.820014504710778, 6.93089872693888, 5.231875379972502, 5.301358461847776, 5.295166532157929, 5.251295082186768, 6.820000009402743, 6.820000000993683]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.950001804428805, 13.963796128907639, 11.534932351030427, 11.543576251469263, 11.542805957142656, 11.537348219295918, 13.950000001169755, 13.950000000123623]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.649441862514734, 1.5511405158190816, 1.558314875685166, 1.609322740523337, 1.6002571012902504, 1.6494024297857661, 1.65, 1.5890619778638124]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
