years,fossil.FossilSimpleTechno,clean_energy.CleanEnergySimpleTechno,carbon_storage.CarbonStorageTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno
2020,37.63,62.37,0.00,0.00,0.00
2021,37.63,62.37,0.00,0.00,0.00
2022,37.63,62.37,0.00,0.00,0.00
2023,37.63,62.37,0.00,0.00,0.00
2024,37.63,62.37,0.00,0.00,0.00
2025,37.63,62.37,0.00,0.00,0.00
2026,37.63,62.37,0.00,0.00,0.00
2027,37.63,62.37,0.00,0.00,0.00
2028,37.63,62.37,0.00,0.00,0.00
2029,37.63,62.37,0.00,0.00,0.00
2030,37.63,62.37,0.00,0.00,0.00
2031,37.63,62.37,0.00,0.00,0.00
2032,37.63,62.37,0.00,0.00,0.00
2033,37.63,62.37,0.00,0.00,0.00
2034,37.63,62.37,0.00,0.00,0.00
2035,37.63,62.37,0.00,0.00,0.00
2036,37.63,62.37,0.00,0.00,0.00
2037,37.63,62.37,0.00,0.00,0.00
2038,37.63,62.37,0.00,0.00,0.00
2039,37.63,62.37,0.00,0.00,0.00
2040,37.63,62.37,0.00,0.00,0.00
2041,37.63,62.37,0.00,0.00,0.00
2042,37.63,62.37,0.00,0.00,0.00
2043,37.63,62.37,0.00,0.00,0.00
2044,37.63,62.37,0.00,0.00,0.00
2045,37.63,62.37,0.00,0.00,0.00
2046,37.63,62.37,0.00,0.00,0.00
2047,37.63,62.37,0.00,0.00,0.00
2048,37.63,62.37,0.00,0.00,0.00
2049,37.63,62.37,0.00,0.00,0.00
2050,37.63,62.37,0.00,0.00,0.00
2051,37.63,62.37,0.00,0.00,0.00
2052,37.63,62.37,0.00,0.00,0.00
2053,37.63,62.37,0.00,0.00,0.00
2054,37.63,62.37,0.00,0.00,0.00
2055,37.63,62.37,0.00,0.00,0.00
2056,37.63,62.37,0.00,0.00,0.00
2057,37.63,62.37,0.00,0.00,0.00
2058,37.63,62.37,0.00,0.00,0.00
2059,37.63,62.37,0.00,0.00,0.00
2060,37.63,62.37,0.00,0.00,0.00
2061,37.63,62.37,0.00,0.00,0.00
2062,37.63,62.37,0.00,0.00,0.00
2063,37.63,62.37,0.00,0.00,0.00
2064,37.63,62.37,0.00,0.00,0.00
2065,37.63,62.37,0.00,0.00,0.00
2066,37.63,62.37,0.00,0.00,0.00
2067,37.63,62.37,0.00,0.00,0.00
2068,37.63,62.37,0.00,0.00,0.00
2069,37.63,62.37,0.00,0.00,0.00
2070,37.63,62.37,0.00,0.00,0.00
2071,37.63,62.37,0.00,0.00,0.00
2072,37.63,62.37,0.00,0.00,0.00
2073,37.63,62.37,0.00,0.00,0.00
2074,37.63,62.37,0.00,0.00,0.00
2075,37.63,62.37,0.00,0.00,0.00
2076,37.63,62.37,0.00,0.00,0.00
2077,37.63,62.37,0.00,0.00,0.00
2078,37.63,62.37,0.00,0.00,0.00
2079,37.63,62.37,0.00,0.00,0.00
2080,37.63,62.37,0.00,0.00,0.00
2081,37.63,62.37,0.00,0.00,0.00
2082,37.63,62.37,0.00,0.00,0.00
2083,37.63,62.37,0.00,0.00,0.00
2084,37.63,62.37,0.00,0.00,0.00
2085,37.63,62.37,0.00,0.00,0.00
2086,37.63,62.37,0.00,0.00,0.00
2087,37.63,62.37,0.00,0.00,0.00
2088,37.63,62.37,0.00,0.00,0.00
2089,37.63,62.37,0.00,0.00,0.00
2090,37.63,62.37,0.00,0.00,0.00
2091,37.63,62.37,0.00,0.00,0.00
2092,37.63,62.37,0.00,0.00,0.00
2093,37.63,62.37,0.00,0.00,0.00
2094,37.63,62.37,0.00,0.00,0.00
2095,37.63,62.37,0.00,0.00,0.00
2096,37.63,62.37,0.00,0.00,0.00
2097,37.63,62.37,0.00,0.00,0.00
2098,37.63,62.37,0.00,0.00,0.00
2099,37.63,62.37,0.00,0.00,0.00
2100,37.63,62.37,0.00,0.00,0.00
