years,FossilGas (Gha),UpgradingBiogas (Gha),WaterGasShift (Gha),Electrolysis.SOEC (Gha),Electrolysis.PEM (Gha),Electrolysis.AWE (Gha),PlasmaCracking (Gha),AnaerobicDigestion (Gha),BiomassGasification (Gha),SMR (Gha),CoalGasification (Gha),Pyrolysis (Gha),AutothermalReforming (Gha),CoElectrolysis (Gha),Refinery (Gha),FischerTropsch (Gha),HefaDecarboxylation (Gha),HefaDeoxygenation (Gha),CoalExtraction (Gha),Pelletizing (Gha),ManagedWood (Gha),UnmanagedWood (Gha),CropEnergy (Gha),WindOffshore (Gha),WindOnshore (Gha),SolarPv (Gha),SolarThermal (Gha),Hydropower (Gha),Nuclear (Gha),CombinedCycleGasTurbine (Gha),GasTurbine (Gha),BiogasFired (Gha),Geothermal (Gha),CoalGen (Gha),OilGen (Gha),BiomassFired (Gha),Transesterification (Gha),HydrogenLiquefaction (Gha),direct_air_capture.AmineScrubbing (Gha),direct_air_capture.CalciumPotassiumScrubbing (Gha),flue_gas_capture.CalciumLooping (Gha),flue_gas_capture.ChilledAmmoniaProcess (Gha),flue_gas_capture.CO2Membranes (Gha),flue_gas_capture.MonoEthanolAmine (Gha),flue_gas_capture.PiperazineProcess (Gha),flue_gas_capture.PressureSwingAdsorption (Gha),BiomassBuryingFossilization (Gha),DeepOceanInjection (Gha),DeepSalineFormation (Gha),DepletedOilGas (Gha),EnhancedOilRecovery (Gha),GeologicMineralization (Gha),PureCarbonSolidStorage (Gha)
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2827013720948701,0.30006173874555475,0.010799088145307743,0.0,0.0,0.011417306907008895,0.0011021897986912116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2892763457143983,0.34087114889533676,0.010271581741901965,0.0,0.0,0.012367690086588038,0.001200735859398683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2953412511544444,0.38106714650031254,0.00975751898346547,0.0,0.0,0.01329779437016197,0.0012938547662456668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3012858360790815,0.4198827496167256,0.009256900596789712,0.0,0.0,0.014201932582006398,0.0013832814114752166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3074611190342178,0.45670583776093193,0.008769727374738105,0.0,0.0,0.015054933115553283,0.001465859011754501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3141793894475928,0.491088784081293,0.008294320176246003,0.0,0.0,0.015873910430447356,0.0015437025751288023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3217142076287793,0.5219104564034714,0.007832359926320717,0.0,0.0,0.016620730815316842,0.0016159700815330982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.330300404769184,0.5506415235022089,0.007383847616041509,0.0,0.0,0.01728088864278826,0.001681282086906504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3401340829420452,0.5764802082952857,0.006948920509952514,0.0,0.0,0.017916575097149393,0.0017474016143489408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513726151024361,0.5995886975996192,0.006528396975634443,0.0,0.0,0.01849013057930836,0.0018128413506031012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
