variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
syngas.CoalGasification.syngas_CoalGasification_array_mix,"[85.89730910487789, 83.45545007216619, 52.95434380804781, 40.25074801088247, 40.98433252919498, 41.646171367323674, 40.278040302017175, 50.326007814257686]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.Refinery.fuel_liquid_fuel_Refinery_array_mix,"[232.96734442333837, 50.688288385869164, 33.09677889464902, 0.31712500128971594, 3.6974749915077942, 2.545286917954235, 6.4109759272236095, 7.057007394951883]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.FischerTropsch.fuel_liquid_fuel_FischerTropsch_array_mix,"[60.949128711411305, 58.23489880092028, 47.01414116987845, 10.322900070265932, 7.6048183773849525, 7.427565767034099, 5.1115391862728705, 12.57916362654771]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel.HefaDecarboxylation.fuel_hydrotreated_oil_fuel_HefaDecarboxylation_array_mix,"[151.274073342804, 54.21486536526984, 37.80189867502031, 32.67548005686364, 15.723670478522173, 10.22703398503077, 20.656925090635315, 13.932201938578777]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel.HefaDeoxygenation.fuel_hydrotreated_oil_fuel_HefaDeoxygenation_array_mix,"[163.2431956748762, 57.13008529579019, 39.02522849289736, 33.36685577761835, 16.804737193751293, 11.48580325273313, 21.44051147331653, 12.361646304614816]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel.CoalExtraction.solid_fuel_CoalExtraction_array_mix,"[1e-06, 1e-06, 1e-06, 0.0010214722498108988, 0.7421210634185418, 0.32437591237471364, 6.742130230595968, 1.369385033285908]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel.Pelletizing.solid_fuel_Pelletizing_array_mix,"[18.285855655307103, 22.07868092220524, 18.951802015972376, 26.955264780702457, 1e-06, 2.16080352445859, 1e-06, 0.08860067051595885]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.ManagedWood.biomass_dry_ManagedWood_array_mix,"[45.63649359465881, 0.9551437584905283, 9.608975835653018, 69.84248375883024, 10.953789269359207, 14.42608491973701, 23.355122585723137, 44.55612797898519]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.UnmanagedWood.biomass_dry_UnmanagedWood_array_mix,"[0.2452944435620282, 81.25797161777288, 12.80702772252956, 11.585131366256569, 3.2367117168862807, 1.991702907633112, 5.1119856380224995, 37.62657180391165]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.CropEnergy.biomass_dry_CropEnergy_array_mix,"[1e-06, 1e-06, 1e-06, 0.00010570883497285512, 1.295564047707274, 7.667025030322828, 10.91866266488285, 35.682652894266354]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
