variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
syngas.CoalGasification.syngas_CoalGasification_array_mix,"[0.8490772936477244, 0.7455541524620998, 1e-06, 2.5754683611744245, 0.8682562118850872, 1e-06, 7.414507799707228, 20.822247119467093]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.Refinery.fuel_liquid_fuel_Refinery_array_mix,"[214.99968904435224, 98.17850176945348, 121.43403464253136, 206.01089472071254, 46.88683592221751, 193.20507388731585, 7.317758610465301, 37.983913030182855]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.FischerTropsch.fuel_liquid_fuel_FischerTropsch_array_mix,"[21.801798089109393, 92.53302048723093, 73.20527840219793, 48.90150287729504, 20.8622153006314, 14.696929536509606, 21.56288311138856, 50.53953347524445]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel.HefaDecarboxylation.fuel_hydrotreated_oil_fuel_HefaDecarboxylation_array_mix,"[89.28037249318996, 2.611783975903751, 3.0843563297429166, 1.7985512834243917, 1e-06, 1e-06, 28.37457318288663, 44.6949379123915]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel.HefaDeoxygenation.fuel_hydrotreated_oil_fuel_HefaDeoxygenation_array_mix,"[90.6836443026151, 1.611232996080933, 1e-06, 0.31301180659190225, 1e-06, 1e-06, 30.213452185845334, 45.5103856181763]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel.CoalExtraction.solid_fuel_CoalExtraction_array_mix,"[6.701443938150169, 1e-06, 10.43823689448407, 0.01239250230834737, 5.500613486718709, 0.940499726545436, 5.4165151220437515, 1e-06]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel.Pelletizing.solid_fuel_Pelletizing_array_mix,"[215.7419988659814, 77.64574528790973, 76.2010133772409, 65.44844464727363, 95.05456970862684, 19.472293836148275, 42.08852425219136, 17.361735932223187]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.ManagedWood.biomass_dry_ManagedWood_array_mix,"[97.02019558566431, 154.02022455072282, 131.3352955476183, 1e-06, 1e-06, 0.8919931287863355, 1e-06, 15.829569809877965]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.UnmanagedWood.biomass_dry_UnmanagedWood_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1.960409235280198, 5.697448686476993, 6.913642636076729]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry.CropEnergy.biomass_dry_CropEnergy_array_mix,"[2.9389209577507454, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 4.091396826127132, 16.428340790655255]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
