years,forest_investment
2020,120.94553584625903
2021,121.30096829691207
2022,120.49546590339428
2023,118.64769199676536
2024,115.8763099080852
2025,112.29998296841359
2026,108.03737450881034
2027,103.20714786033521
2028,97.92796635404807
2029,92.31849332100867
2030,86.49739209227687
2031,80.58332599891241
2032,74.69495837197515
2033,68.95095254252487
2034,63.46997184162139
2035,58.3706796003245
2036,53.77173914969402
2037,49.76363810264755
2038,46.3241611995339
2039,43.402917462559735
2040,40.94951591393165
2041,38.91356557585628
2042,37.244675470540265
2043,35.89245462019022
2044,34.80651204701278
2045,33.93645677321457
2046,33.23189782100222
2047,32.642444212582355
2048,32.11770497016162
2049,31.607289115946603
2050,31.060805672143967
2051,30.427863660960327
2052,29.6580721046023
2053,28.71292080404469
2054,27.60142267533483
2055,26.344471413288232
2056,24.962960712720392
2057,23.477784268446825
2058,21.909835775283025
2059,20.280008928044502
2060,18.60919742154676
2061,16.918294950605297
2062,15.228195210035622
2063,13.55979189465324
2064,11.93397869927364
2065,10.371649318712342
2066,8.893697447784836
2067,7.521016781306645
2068,6.274501014093251
2069,5.175283489632569
2070,4.245456146102067
2071,3.507350570351605
2072,2.9832983492310654
2073,2.6956310695903083
2074,2.666680318279205
2075,2.9187776821476237
2076,3.4742547480454364
2077,4.355443102822503
2078,5.584674333328707
2079,7.184280026413898
2080,9.176591768927947
2081,11.583941147720756
2082,14.428659749642142
2083,17.73307916154203
2084,21.519530970270225
2085,25.784684034523842
2086,30.422556300388834
2087,35.30150298579827
2088,40.28987930868538
2089,45.256040486983196
2090,50.068341738624916
2091,54.595138281543704
2092,58.704785333672625
2093,62.26563811294489
2094,65.14605183729356
2095,67.21438172465183
2096,68.3389829929528
2097,68.38821086012965
2098,67.2304205441155
2099,64.73396726284348
2100,60.767206234246736
