years,forest_investment
2020,1e-06
2021,1e-06
2022,1e-06
2023,1e-06
2024,1e-06
2025,1.0000000000000002e-06
2026,1.0000000000000002e-06
2027,1e-06
2028,9.999999999999997e-07
2029,1e-06
2030,1e-06
2031,1e-06
2032,1e-06
2033,1e-06
2034,1e-06
2035,9.999999999999997e-07
2036,1e-06
2037,5.2767787840978076e-05
2038,0.00041514230272782324
2039,0.0013987302717064051
2040,0.0033141384218225863
2041,0.006471973480122244
2042,0.011182842173651241
2043,0.01775735122945545
2044,0.026506107374580735
2045,0.037739717336072905
2046,0.05176878784097795
2047,0.06890392561634165
2048,0.08945573738920992
2049,0.11373482988662861
2050,0.14205180983564347
2051,0.17471728396330055
2052,0.21204185899664568
2053,0.25435831754625304
2054,0.30208814575681053
2055,0.35567500565653365
2056,0.4155625592736393
2057,0.48219446863634297
2058,0.5560143957728609
2059,0.6374660027114097
2060,0.7269929514802042
2061,0.8250389041074624
2062,0.9320475226213982
2063,1.0484624690502287
2064,1.1747274054221715
2065,1.3112859937654395
2066,1.4585818961082517
2067,1.6170587744788223
2068,1.787160290905369
2069,1.9723230604024384
2070,2.1879555099299126
2071,2.4524590194340066
2072,2.7842349688609285
2073,3.201684738156899
2074,3.723209707268123
2075,4.367211256140818
2076,5.152090764721202
2077,6.096249612955478
2078,7.218089180789875
2079,8.536010848170584
2080,10.068415995043829
2081,11.833706001355841
2082,13.8502822470528
2083,16.136546112080957
2084,18.71089897638648
2085,21.58694321866209
2086,24.759085212586385
2087,28.216932330584395
2088,31.950091945081237
2089,35.94817142850191
2090,40.20077815327151
2091,44.69751949181515
2092,49.428002816557814
2093,54.38183549992464
2094,59.54862491434062
2095,64.91797843223087
2096,70.47950342602046
2097,76.22280726813442
2098,82.13749733099789
2099,88.21318098703581
2100,94.43946560867333
