years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,2.421644369505039,610.5652374899727,32.17621027499666,832.6354701793166,633.3672674715541
2021,7.513347731233483,582.8423669745237,26.57224746417986,819.6739247868317,638.2666326192123
2022,19.281162772328152,557.487092937158,21.89941160909808,808.0583460777805,642.5396134061473
2023,37.02861965490691,534.524508127578,18.26716385861862,797.7010549994961,646.2260849621985
2024,60.0592485410876,513.9797052954852,15.784965361608794,788.5143724993118,649.3659224172046
2025,87.6765795929881,495.87777719058204,14.562277266935908,780.41061952456,651.9990009010047
2026,119.1841429727263,480.24381656257043,14.708560723467272,773.3021170225742,654.1651955434381
2027,153.88546884241993,467.1029161611521,16.333276880070187,767.1011859406867,655.9043814743434
2028,191.08408736418704,456.48016873602955,19.545886885611964,761.7201472262311,657.2564338235597
2029,230.08352870014528,448.4006670369044,24.455851888959906,757.07132182654,658.2612277209263
2030,270.1873230124128,442.88950381347894,31.172633038981328,753.0670306889468,658.958638296282
2031,310.6990004631071,439.9717718154551,39.80569148454354,749.6195947607838,659.3885406794658
2032,350.9220912143463,439.6725637925348,50.46448837451384,746.6413349893845,659.5908100003167
2033,390.16012542824814,442.0169724944202,63.25848485775952,744.0445723220816,659.6053213886737
2034,427.7166332669306,447.0300906708132,78.29714208314792,741.7416277062082,659.471949974376
2035,462.8951448925113,454.73701107141596,95.68992119954632,739.644822089097,659.2305708872625
2036,494.9991904671084,465.16282644593036,115.54628335582206,737.6664764180814,658.9210592571721
2037,523.4607530413097,478.24589863539165,137.90744826804828,735.7344915190196,658.577051992617
2038,548.2256272195826,493.57766584616616,162.5416699211214,733.8390877318717,658.2072331168009
2039,569.3680604948657,510.66283537595444,189.14896086714404,731.9860652751242,657.8140484316012
2040,586.9623003600959,529.0061145224555,217.42933365821833,730.1812243672624,657.3999437388943
2041,601.0825943082118,548.1122105833697,247.0828008464468,728.4303652267727,656.9673648405576
2042,611.8031898321509,567.4858308563968,277.8093749839318,726.7392880721403,656.518757538468
2043,619.198334424851,586.6316826392365,309.3090686227756,725.1137931218516,656.0565676345022
2044,623.3422755792501,605.0544732295886,341.28189431508065,723.5596805943926,655.5832409305374
2045,624.3092607882858,622.2589099251529,373.4278646129492,722.0827507082485,655.1012232284504
2046,622.1735375448961,637.7497000236293,405.4469920684839,720.6888036819058,654.6129603301183
2047,617.0093533420187,651.0315508227177,437.03928923378703,719.38363973385,654.1208980374181
2048,608.8909556725915,661.6091696201179,467.9047686609608,718.1730590825674,653.6274821522268
2049,597.8925920295524,668.9872637135294,497.74344290210774,717.0628619465435,653.1351584764209
2050,584.088509905839,672.6705404006524,526.2553245093301,716.0588485442643,652.6463728118779
2051,567.5529567943893,672.1637069791865,553.1404260347302,715.1668190942154,652.1635709604743
2052,548.3601801881408,666.9714707468313,578.0987600304106,714.3925738148829,651.6891987240872
2053,526.6502497123461,656.7875060516111,600.8738789677658,713.7194545284533,651.1996770836895
2054,502.82652352151354,642.0613554428453,621.3834949953575,713.0409694719151,650.5673277366355
2055,477.3581819024664,623.4315285201772,639.5888601810396,712.2281684859564,649.6384475593757
2056,450.7144051420276,601.5365348832503,655.4512265926668,711.1521014112667,648.2593334283605
2057,423.3643735270203,577.0148841317082,668.9318462980924,709.6838180885347,646.27628222004
2058,395.77726734426733,550.5050858651947,679.9919713651709,707.694368358449,643.5355908108645
2059,368.422266880592,522.6456496833531,688.5928538617563,705.054802061699,639.8835560772849
2060,341.76855242281727,494.0750851858268,694.6957458557022,701.6361690389728,635.1664748957506
2061,316.285304257766,465.4319019722595,698.2618994148633,697.3095191309598,629.2306441427127
2062,292.4417026722614,437.3546096422947,699.2525666070931,691.9459021783485,621.9223606946213
2063,270.7069279531264,410.4817177955759,697.6289995002458,685.416368021828,613.0879214279264
2064,251.55016038718412,385.45173603174646,693.3524501621755,677.5919665020872,602.5736232190787
2065,235.44058026125757,362.90317395045,686.3841706607359,668.3437474598145,590.2257629445281
2066,222.8473678621697,343.4745411513301,676.6854130637814,657.542760735699,575.8906374807254
2067,214.23970347674373,327.80434723403033,664.2174294391662,645.0600561704298,559.4145437041208
2068,210.08676739180254,316.5311017981941,648.9414718547437,630.7666836046951,540.6437784911643
