years,forest_investment
2020,0.032252154113317735
2021,0.03179467310457423
2022,0.031394540306203804
2023,0.031049080105102603
2024,0.03075561688816677
2025,0.030511475042292444
2026,0.030313978954375775
2027,0.030160453011312885
2028,0.030048221599999942
2029,0.029974609107333065
2030,0.029936939920208405
2031,0.029932538425522105
2032,0.02995872901017031
2033,0.030012836061049146
2034,0.03009218396505477
2035,0.030194097109083315
2036,0.030315899880030934
2037,0.03052743479635281
2038,0.031188616902740326
2039,0.032731879375443966
2040,0.03558965539071414
2041,0.04019437812480131
2042,0.04697848075395593
2043,0.05637439645442843
2044,0.0688145584024693
2045,0.08473139977432886
2046,0.10455735374625776
2047,0.1287248534945063
2048,0.15766633219532497
2049,0.19181422302496426
2050,0.23160095915967438
2051,0.2774589737757061
2052,0.32982070004930975
2053,0.38904394568667466
2054,0.45518801651374546
2055,0.528237592886405
2056,0.608177355160538
2057,0.694991983692027
2058,0.7886661588367558
2059,0.8891845609506083
2060,0.9965318703894666
2061,1.110692767509216
2062,1.2316519326657385
2063,1.3593940462149179
2064,1.4939037885126394
2065,1.6351658399147833
2066,1.783164880777236
2067,1.9378855914558792
2068,2.0993126523065975
2069,2.27260335020313
2070,2.483605398090648
2071,2.763339115432179
2072,3.1428248216907475
2073,3.653082836329386
2074,4.325133478811113
2075,5.189997068598959
2076,6.27869392515596
2077,7.622244367945127
2078,9.25166871642951
2079,11.197987290072106
2080,13.492220408335953
2081,16.165388390684107
2082,19.248511556579547
2083,22.772610225485355
2084,26.76870471686449
2085,31.233074489367116
2086,36.023035558391776
2087,40.961163078524024
2088,45.87003220434952
2089,50.57221809045382
2090,54.890295891422554
2091,58.646840761841375
2092,61.66442785629584
2093,63.76563232937159
2094,64.77302933565423
2095,64.50919402972936
2096,62.79670156618257
2097,59.45812709959954
2098,54.3160457845658
2099,47.19303277566704
2100,37.91166322748885
