years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,120.82938873913233,593.8569497277393,34.39970233768181,1240.1175877969051,989.5138274485735
2021,124.19257280323978,575.2307333723254,29.687951198989293,1221.543550548792,995.7079529310058
2022,135.1630075286112,554.4373489049137,28.251001117112647,1203.607402187954,999.9580610681248
2023,152.96581698484286,532.0046499561008,29.786475090907192,1186.319917679055,1002.4340023335475
2024,176.82612524153106,508.4604901564833,33.99199611922823,1169.6918719867567,1003.3056272008907
2025,205.9690563682722,484.33272313665736,40.565187200931106,1153.734040075722,1002.742786143772
2026,239.61973443466252,460.1492025272199,49.20367133487114,1138.4571969106134,1000.915329635808
2027,277.0032835102983,436.4377819587668,59.60507151990361,1123.8721174560928,997.9931081506155
2028,317.3448276647759,413.726315061895,71.4670107548839,1109.9895766768236,994.145972161812
2029,359.86949096769155,392.5426554672008,84.48711203866725,1096.8203495374678,989.5437721430143
2030,403.80239748864176,373.41465680528074,98.36299837010908,1084.3752110026883,984.3563585678394
2031,448.36867129722276,356.8701727067312,112.79229274806465,1072.6649360371475,978.7535819099046
2032,492.7934364630309,343.4370568021486,127.4726181713893,1061.7002996055076,972.9052926428265
2033,536.3018170556622,333.6431627221296,142.1015976389383,1051.4920766724317,966.9813412402223
2034,578.1189371447133,328.0163440972706,156.37685414956704,1042.0510422025816,961.1515781757089
2035,617.4699207997803,327.084454558168,169.99601070213077,1033.3879711606203,955.5858539229035
2036,653.5798920904598,331.37534773541825,182.6566902954849,1025.5136385112105,950.4540189554232
2037,685.8086473120688,341.20988608982975,194.15055277125583,1018.4258632817857,945.8882499181781
2038,714.0546716628083,356.08096740305757,204.64540534215436,1012.070640750864,941.8700281412506
2039,738.3511225666009,375.2744982869694,214.40309206366265,1006.3810102597355,938.3431611260173
