years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,4.571794104920141,575.6908906503577,1e-06,961.6028772778068,770.9325213033427
2021,9.705028480149025,549.2746342543558,0.0020476105449787883,949.5741599279797,775.5543845486893
2022,22.955531882342907,525.0143962776745,0.016373884359830306,938.7802048256675,779.5888540456527
2023,43.479435425401995,502.9886453867693,0.05525948471442731,929.1402867870635,783.0733493137435
2024,70.43287022322649,483.2758502480961,0.13098407487864247,920.573680628361,786.0452898724714
2025,102.97196738971661,465.9544795281103,0.25582731812234855,912.9996611657533,788.5420952413467
2026,140.25285803877262,451.1030018932677,0.4420688777154185,906.3375032154341,790.6011849398798
2027,181.43167328429456,438.7998860100236,0.7019884169277245,900.5064815935958,792.2599784875802
2028,225.66454424018275,429.12360054483383,1.0478655990291397,895.4258711164327,793.5558954039587
2029,272.10760202033737,422.152614164154,1.4919800872895368,891.0149466001379,794.5263552085254
2030,319.9169777386588,417.96539553443984,2.0466115449787883,887.1929828609047,795.2087774207904
2031,368.2488025090469,416.64041332214674,2.724039635366768,883.8792547149262,795.6405815602637
2032,416.25920744540235,418.25613619373047,3.5365440217233477,880.993036978396,795.8591871464555
2033,463.10432366162485,422.89103281564655,4.496404367318399,878.4536044675074,795.9020136988762
2034,507.9402822716149,430.6235718543507,5.615900335421796,876.1802319984538,795.8064807370358
2035,549.9232143892726,441.5322219762985,6.9073115893034105,874.0921943874281,795.6100077804443
2036,588.2092511284983,455.69545184794555,8.382917792233117,872.1087664506242,795.3500143486123
2037,622.1110863049672,473.08172833139906,10.082078354098561,870.1627700057925,795.0580114286892
2038,651.5676645414545,493.21951107137204,12.152471671258457,868.2412148769127,794.7418758783843
2039,676.6744931625117,515.5272579082298,14.768855886689327,866.3446578895225,794.4035760230466
2040,697.5270794926884,539.4234266823365,18.105989143367644,864.4736558691585,794.0450801880246
2041,714.2209308565358,564.3264752340574,22.33862958426992,862.6287656413587,793.6683566986671
2042,726.8515545786044,589.6548614037571,27.641535352372653,860.8105440316597,793.275373880323
2043,735.5144579834448,614.8270430318005,34.18946459065234,859.019547865599,792.8681000583412
2044,740.3051483956075,639.2614779585523,42.15717544208548,857.2563339687134,792.4485035580702
2045,741.3191331396431,662.3766240243772,51.719426049648526,855.5214591665407,792.018552704859
2046,738.6519195401024,683.5909390696402,63.05097455631807,853.8154802846177,791.5802158240563
2047,732.3990149215361,702.3228809347061,76.32657910507054,852.138954148482,791.1354612410111
2048,722.6559266084947,717.9909074599396,91.72099783888248,850.4924375836705,790.686257281072
2049,709.5181619255286,730.0134764857053,109.40898890073034,848.8764874157205,790.2345722695878
2050,693.0812281971887,737.8090458523683,129.56531043359058,847.2916604701692,789.7823745319074
2051,673.4406327480253,740.7960734002932,152.3647205804398,845.7385135725538,789.3316323933794
2052,650.6918829025891,738.3930169698447,177.9819774842545,844.2176035484114,788.8843141793528
2053,625.0086580094454,730.2403788380014,206.4666340984751,842.7293713313293,788.4109334430248
2054,596.8773255132157,716.8668390281949,237.36742261839805,841.2737942870918,787.7561846489867
2055,566.8624248825367,699.02312200047,270.10787004978346,839.8507338895341,786.7333074896783
2056,535.5284955860444,677.4599522148721,304.11150339839213,838.4600516124908,785.1555416575394
2057,503.4400770923754,652.9280541314464,338.80184966998416,837.1016089297964,782.8361268450099
2058,471.1617088701659,626.1781522102375,373.6024358703201,835.7752673152856,779.5883027445293
2059,439.2579303880524,597.9609709112915,407.9367890051604,834.4808882427932,775.2253090485381
2060,408.293281114671,569.0272346946525,441.2284360802648,833.2183331861534,769.560385449475
2061,378.8323005186581,540.1276680203663,472.9009041013947,831.9874636192015,762.4067716397808
2062,351.43952806865013,512.0129953484778,502.3777200743096,830.7881410157717,753.5777073118949
