years,forest_investment
2020,2.753135790331126
2021,3.287711145395063
2022,3.776250126414499
2023,4.220678200265098
2024,4.622920833822526
2025,4.984903493962445
2026,5.308551647560522
2027,5.595790761492417
2028,5.848546302633796
2029,6.068743737860324
2030,6.258308534047665
2031,6.419166158071483
2032,6.553242076807441
2033,6.6624617571312035
2034,6.748750665918435
2035,6.814034270044799
2036,6.860238036385962
2037,6.889828745909296
2038,6.907438435949007
2039,6.918240457931026
2040,6.927408163281267
2041,6.940114903425652
2042,6.961534029790102
2043,6.996838893800541
2044,7.051202846882883
2045,7.129799240463053
2046,7.237801425966974
2047,7.380382754820564
2048,7.562716578449744
2049,7.789976248280435
2050,8.067335115738555
2051,8.39996653225003
2052,8.793043849240778
2053,9.248933584838074
2054,9.758774923974592
2055,10.310900218284363
2056,10.893641819401426
2057,11.495332078959805
2058,12.10430334859353
2059,12.708887979936641
2060,13.297418324623154
2061,13.858226734287117
2062,14.379645560562546
2063,14.850007155083476
2064,15.25764386948395
2065,15.590888055397977
2066,15.838072064459604
2067,15.98752824830286
2068,16.02758895856177
2069,15.956730767058215
2070,15.814007126365441
2071,15.64861570924454
2072,15.509754188456617
2073,15.446620236762762
2074,15.508411526924066
2075,15.744325731701622
2076,16.203560523856535
2077,16.935313576149888
2078,17.98878256134279
2079,19.413165152196324
2080,21.25765902147158
2081,23.571461841929676
2082,26.403771286331676
2083,29.803785027438714
2084,33.82070073801184
2085,38.46208368362311
2086,43.5689695010885
2087,48.940761420034804
2088,54.37686267008897
2089,59.67667648087776
2090,64.6396060820281
2091,69.06505470316691
2092,72.75242557392095
2093,75.50112192391721
2094,77.11054698278245
2095,77.38010398014363
2096,76.10919614562752
2097,73.0972267088611
2098,68.14359889947116
2099,61.047715947084626
2100,51.60898108132837
