years,forest_investment
2020,1e-06
2021,1e-06
2022,1e-06
2023,1e-06
2024,1e-06
2025,1.0000000000000002e-06
2026,1.0000000000000002e-06
2027,1e-06
2028,9.999999999999997e-07
2029,1e-06
2030,1e-06
2031,1e-06
2032,1e-06
2033,1e-06
2034,1e-06
2035,9.999999999999997e-07
2036,1e-06
2037,1e-06
2038,9.999999999999997e-07
2039,1.0000000000000002e-06
2040,1e-06
2041,1e-06
2042,1e-06
2043,1e-06
2044,9.999999999999997e-07
2045,9.999999999999997e-07
2046,9.999999999999997e-07
2047,1e-06
2048,1.0000000000000002e-06
2049,1e-06
2050,1.0000000000000002e-06
2051,1.0000000000000002e-06
2052,1e-06
2053,0.00025721524219327556
2054,0.0020507219375462044
2055,0.00691881153921841
2056,0.016398775500369583
2057,0.03202790527415936
2058,0.05534349231374741
2059,0.08788282807229335
2060,0.13118320400295666
2061,0.1867819115588976
2062,0.2562162421932749
2063,0.3410234873592486
2064,0.44274093850997925
2065,0.5629058870986247
2066,0.7030556245783468
2067,0.8647274424023028
2068,1.049458632023655
2069,1.258713900524809
2070,1.4936676175051717
2071,1.7554215681933996
2072,2.045077537818142
2073,2.3637373116080593
2074,2.712502674791799
2075,3.0924754125980196
2076,3.5047573102553775
2077,3.950450152992521
2078,4.430655726038111
2079,4.946475814620794
2080,5.499012203969231
2081,6.089366679312077
2082,6.718641025877977
2083,7.3879370288956
2084,8.098356473593585
2085,8.852960966444767
2086,9.662651398898673
2087,10.540288483648988
2088,11.498732933389423
2089,12.550845460813653
2090,13.709486778615386
2091,14.987517599488328
2092,16.39779863612615
2093,17.953190601222577
2094,19.66655420747128
2095,21.550750167565955
2096,23.618639194200323
2097,25.88308200006805
2098,28.35693929786287
2099,31.053071800278424
2100,33.98434022000844
