years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,1.0000000171992667e-06,535.6038767178735,1e-06,984.8332584807855,808.5642507840039
2021,11.617818762967884,518.6967559080987,1.1165704002871426,975.8585894762227,818.8780865845118
2022,31.061962796929603,503.16108739657824,4.303711896851861,967.5700278569017,827.7804645893843
2023,57.48215143699816,489.1141442313178,9.317575433249093,959.9288102527629,835.3605853458929
2024,90.02810301828654,476.67319946032325,15.91431095303377,952.8961732937465,841.707649401309
2025,127.84953587590779,465.9555261316001,23.850068399760836,946.433353609793,846.9108573029041
2026,170.0961683449749,457.0783972931542,32.88099771698523,940.501587830843,851.05940959795
2027,215.91771876060082,450.15908599299104,42.76324884826187,935.0621125868363,854.2425068337171
2028,264.46390545789853,445.3148652791166,53.2529717371457,930.076164507714,856.5493495574782
2029,314.88444677198106,442.6630081995365,64.10631632719165,925.5049802234157,858.069138316504
2030,366.3290610379616,442.3207878022564,75.0794325619547,921.3097963638826,858.8910736580663
2031,417.94746659095284,444.4054771352822,85.92847038498972,917.4518495590546,859.1043561294363
2032,468.88938176606797,449.03434924661934,96.40957973985172,913.892376438872,858.7981862778856
2033,518.3045248984198,456.32467718427364,106.27891057009555,910.5926136332755,858.0617646506856
2034,565.3426143231216,466.39373399625094,115.29261281927621,907.5137977722052,856.9842917951079
2035,609.153368375286,479.35879273055673,123.20683643094858,904.6171654856015,855.6549682584237
2036,648.8865053900264,495.33712643519686,129.7777313486677,901.863953403405,854.1629945879049
2037,683.8528518558184,514.3287317198129,134.85818707887879,899.2217810840226,852.5848439286881
2038,714.0076668745875,535.8644994405894,138.68805137958861,896.6837997997279,850.9460798173716
2039,739.4673177016231,559.3580440153473,141.6039115716944,894.2495437512613,849.2595383884201
2040,760.3481715922134,584.2229798619067,143.94235497609318,891.9185471393628,847.5380557762965
2041,776.7665958016474,609.8729213980884,146.03996891368223,889.6903441647728,845.7944681154652
2042,788.8389575852137,635.7214830417129,148.23334070535867,887.5644690282315,844.0416115403906
2043,796.6816241982009,661.182279210601,150.8590576720196,885.5404559304794,842.2923221855359
2044,800.4109628958978,685.6689243225726,154.25370713456218,883.6178390722565,840.5594361853654
2045,800.1433409335931,708.5950327954489,158.75387641388357,881.7961526543031,838.8557896743431
2046,795.9951255665752,729.3742190470502,164.69615283088092,880.0749308773596,837.1942187869327
2047,788.0826840501335,747.4200974951974,172.41712370645138,878.4537079421663,835.5875596575984
2048,776.522383639556,762.1462825577106,182.25337636149217,876.9320180494633,834.0486484208038
2049,761.4305915901314,772.9663886524106,194.5414981169003,875.5093953999909,832.590321211013
2050,742.9236751571489,779.2940301971178,209.61807629357298,874.1853741944893,831.2254141626902
2051,721.1180015958968,780.5428216096528,227.8196982124074,872.9594886336989,829.9667634102988
2052,696.1299381616636,776.126377307836,249.48295119430068,871.8312729183598,828.8272050883027
2053,668.1537305048822,765.6875475552388,274.7804232686017,870.7989422212527,827.783095171442
2054,637.695137856559,749.7861259984323,303.22870529846625,869.8554356033189,826.6648689955571
2055,605.3377978428442,729.211142129739,334.1803888555015,868.9923730975397,825.2664817367645
2056,571.6653480898885,704.7516254414804,366.9880655113154,868.2013747368967,823.3818885711805
2057,537.2614262238422,677.1966054259791,401.0043268375152,867.4740605543716,820.8050446749218
2058,502.70966987085535,647.3351115755565,435.58176440570827,866.8020505829459,817.3299052241043
2059,468.5937166570787,615.9561733825354,470.07296978750236,866.1769648556016,812.7504253948454
2060,435.4972042086624,583.8488203392374,503.8305345545044,865.5904234053191,806.8605603632601
2061,404.00377015175684,551.8020819379843,536.2070502783228,865.0340462650811,799.454265305466
2062,374.6970521125125,520.6049876710985,566.555108530564,864.4994534678686,790.325495397579
