Years,Section A(%),Section B(%),Section C(%),Section D(%),Section E(%),Section F(%),Section G(%),Section H(%),Section I(%),Section J(%),Section K(%),Section L(%),Section M(%),Section N(%),Section O(%),Section P(%),Section Q(%),Section R(%),Section S(%),Section T(%)
2020,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2021,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2022,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2023,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2024,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2025,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2026,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2027,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2028,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
2029,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886, 4.590837205165746,2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849, 5.791144558061621,1.0028244283468057,1.481167262432244,0.24350817014306206
