copper_consumption
9.801762944
10.13502288
10.47961366
10.83592053
11.20434182
11.58528945
11.97918929
12.38648172
12.8076221
13.24308125
13.69334602
14.15891978
14.64032305
15.13809404
15.65278923
16.18498407
16.73527353
17.30427283
17.8926181
18.50096712
19.13
19.704
19.704
21.401
22.908
23.057
23.487
23.705
24.484
24.429
24.987
