param,death_rate_upper,death_rate_lower,death_rate_delta,death_rate_phi,death_rate_nu
0-4,2.0954E-01,2.2880E-03,1.8419E-04,4.0338E+03,3.2168E+00
5-9,2.1632E-02,1.2509E-04,1.8074E-04,4.0338E+03,2.9817E+00
10-14,1.3932E-02,1.6510E-04,1.6085E-04,4.0338E+03,3.8788E+00
15-19,1.3175E-02,3.2881E-04,1.4421E-04,4.0338E+03,2.9734E+00
20-24,1.6386E-02,5.4712E-04,1.4238E-04,4.0340E+03,3.1036E+00
25-29,1.7377E-02,7.0285E-04,1.4461E-04,4.0338E+03,3.0604E+00
30-34,1.8920E-02,1.0066E-03,1.5510E-04,4.0337E+03,3.0497E+00
35-39,2.1995E-02,1.3886E-03,1.6483E-04,4.0338E+03,3.0012E+00
40-44,1.0493E-01,1.6000E-03,1.4600E-04,4.0336E+03,1.2172E+01
45-49,8.7109E-02,2.2000E-03,1.3838E-04,4.0336E+03,7.5868E+00
50-54,2.0228E-01,3.5000E-03,1.3205E-04,4.0336E+03,1.3394E+01
55-59,1.3077E-01,6.2386E-03,1.5955E-04,4.0336E+03,5.8706E+00
60-64,1.8957E-01,8.4830E-03,1.3784E-04,4.0336E+03,5.3830E+00
65-69,2.6780E-01,1.1380E-02,1.1897E-04,4.0336E+03,5.0160E+00
70-74,4.1526E-01,1.7556E-02,1.1986E-04,4.0336E+03,5.0063E+00
75-79,5.9800E-01,3.1000E-02,1.2977E-04,4.0336E+03,4.9235E+00
80-84,7.8352E-01,5.9000E-02,1.3707E-04,4.0336E+03,4.8264E+00
85-89,8.9255E-01,9.8090E-02,1.3028E-04,4.0336E+03,4.3923E+00
90-94,9.5000E-01,1.3458E-01,9.2485E-05,4.0336E+03,3.7774E+00
95-99,7.2761E-01,2.5000E-01,4.3256E-05,4.0336E+03,4.8721E+00
100+,7.2761E-01,2.5000E-01,4.3256E-05,4.0336E+03,4.8721E+00
