years,exog_forcing,forcing,temp_atmo,temp_ocean
2015,0.5,2.463395500676426,0.85,0.00687
2016,0.5058823529411764,2.4619425933310346,0.8788980673926376,0.011085649999999999
2017,0.5117647058823529,2.474575145331901,0.9073515473138709,0.015424712086963187
2018,0.5176470588235295,2.4962042535460425,0.9355520833704508,0.019884346263097725
2019,0.5235294117647059,2.523312042062694,0.9636159667073338,0.02446268494863449
2020,0.5294117647058824,2.553470207924891,0.991607862018244,0.029158451357427985
2021,0.5352941176470588,2.5850045998513598,1.0195572167423217,0.03397069841073207
2022,0.5411764705882353,2.6167594435995727,1.0474695336209578,0.038898631002390015
2023,0.5470588235294118,2.64789146114789,1.0753332319340398,0.04394148551548285
2024,0.5529411764705883,2.6777920491772855,1.1031247782824685,0.04909844424757564
2025,0.5588235294117647,2.7060749728693247,1.1308134457036478,0.0543685759177501
2026,0.5647058823529412,2.7324992722468835,1.1583644079041122,0.05975080026667959
2027,0.5705882352941176,2.756919187658755,1.1857407520307863,0.06524386830486675
2028,0.5764705882352941,2.7793476695568673,1.2129067192267557,0.07084635272349635
2029,0.5823529411764706,2.7998006754595455,1.2398277370571615,0.07655665455601264
2030,0.5882352941176471,2.8182952738263705,1.2664704130398894,0.08237300996851839
2031,0.5941176470588235,2.8348484080932077,1.2928025034924693,0.08829349698387524
2032,0.6,2.849476098925443,1.3187928671012614,0.09431604201641822
2033,0.6058823529411764,2.8621929357952887,1.3444114093983424,0.10043842614184244
2034,0.611764705882353,2.873011758005603,1.369629022174116,0.10665829105812494
2035,0.6176470588235294,2.8819434581420302,1.3944175204090201,0.1129731447137049
2036,0.6235294117647059,2.8889968629228435,1.4187495783399966,0.11938036659218147
2037,0.6294117647058823,2.894293913436267,1.4426009822002548,0.12587721265092056
2038,0.6352941176470588,2.8982365440469198,1.4659561826590584,0.13246083149866722
2039,0.6411764705882352,2.9011409091643743,1.4888063607294557,0.13912830825446917
2040,0.6470588235294118,2.903262431763228,1.5111480440159748,0.1458766985168441
2041,0.6529411764705882,2.904812735102053,1.5329820968202894,0.15270305524433975
2042,0.6588235294117647,2.9059711397224426,1.5543129658085777,0.1596044504522195
2043,0.6647058823529411,2.9069346431356102,1.5751489485503318,0.16657799302900128
2044,0.6705882352941177,2.9078908286871057,1.5955019110268798,0.17362084780660794
2045,0.6764705882352942,2.908957013470702,1.6153857888624672,0.1807302531227093
2046,0.6823529411764706,2.9102058753860307,1.6348156399698412,0.1879035308014081
2047,0.6882352941176471,2.911681003098235,1.653807032701163,0.19513809134725027
2048,0.6941176470588235,2.9133094997375704,1.6723736921558385,0.20243143605401984
2049,0.7,2.9150419778382393,1.6905280174004624,0.20978114733452893
2050,0.7058823529411764,2.9168450491986224,1.7082814352029962,0.2171848816848586
2051,0.711764705882353,2.9186962155836578,1.7256446424991336,0.2246403644524493
2052,0.7176470588235294,2.92058039464013,1.7426277731544872,0.23214538584268274
2053,0.7235294117647059,2.9224875590213486,1.7592405132323186,0.23969779777924177
2054,0.7294117647058823,2.924411133119391,1.7754921812423612,0.24729551135650715
2055,0.7352941176470589,2.92634690530064,1.7913917845808263,0.25493649470593643
2056,0.7411764705882353,2.9282922908802536,1.8069480597883005,0.2626187711553109
2057,0.7470588235294118,2.93024596025884,1.8221695043573811,0.2703404175984758
2058,0.7529411764705882,2.932207240340858,1.8370643957377728,0.27809956303227035
2059,0.7588235294117647,2.9341759026608374,1.8516408056218467,0.28589438719579785
2060,0.7647058823529411,2.9361520197604607,1.86590661099686,0.2937231192879281
2061,0.7705882352941176,2.938135867881755,1.8798695029731398,0.3015840367464728
2062,0.7764705882352941,2.940127861054291,1.893536994073144,0.3094754640776061
2063,0.7823529411764706,2.942128405380225,1.9069164224146748,0.3173957717275838
2064,0.788235294117647,2.944137761965678,1.920014953037286,0.3253433749810193
2065,0.7941176470588236,2.9461560752925084,1.932839579766443,0.3333167328713006
2066,0.8,2.948183391110966,1.9453971273917838,0.3413143471057763
2067,0.8058823529411765,2.9502196681766164,1.9576942540281494,0.34933476100720634
2068,0.8117647058823529,2.952264933947713,1.9697374565485661,0.35737655847231103
2069,0.8176470588235294,2.9543192616175378,1.9815330754236062,0.36543836296269233
2070,0.8235294117647058,2.956382754082598,1.99308729912093,0.3735188365249969
2071,0.8294117647058823,2.9584555325431894,2.0044061681687837,0.38161667883797656
2072,0.8352941176470587,2.960537728167832,2.0154955789531845,0.3897306262846306
2073,0.8411764705882353,2.962629475752443,2.0263612872953503,0.3978594510479734
2074,0.8470588235294118,2.9647309086448743,2.037008911840134,0.40600196022921026
2075,0.8529411764705882,2.9668421544360726,2.047443937275466,0.4141569949872649
2076,0.8588235294117648,2.968963331075839,2.0576717173954275,0.4223234296987059
2077,0.8647058823529412,2.971094539416918,2.0676974779389745,0.4305001711371895
2078,0.8705882352941177,2.97323586345268,2.077526319364381,0.43868615767119845
2079,0.8764705882352941,2.975387370234676,2.0871632195545393,0.44688035847966434
2080,0.8823529411764706,2.9775491095702287,2.0966130364503743,0.4550817727850387
2081,0.888235294117647,2.9797211135704385,2.105880510611111,0.46328942910336535
2082,0.8941176470588235,2.9819033960989425,2.1149702677011817,0.4715023845109041
2083,0.9,2.9840959552142987,2.123886820965723,0.47971972392685547
2084,0.9058823529411765,2.9862987789234734,2.1326345737615062,0.4879405594120498
2085,0.9117647058823529,2.9885118496518452,2.141217822116152,0.49616402948379706
2086,0.9176470588235295,2.9907351478974173,2.1496407572985703,0.5043892984469588
2087,0.9235294117647059,2.9929686553595514,2.1579074683897788,0.5126155557412169
2088,0.9294117647058824,2.995212353221556,2.1660219447567055,0.5208420153044597
2089,0.9352941176470588,2.9974662209409995,2.173988078441525,0.529067914951721
2090,0.9411764705882353,2.999730235402124,2.181809666475861,0.53729251576917
2091,0.9470588235294117,3.0020043703340566,2.1894904131270283,0.5455151015227034
2092,0.9529411764705882,3.0042885959322745,2.197033932082042,0.553734978080725
2093,0.9588235294117646,3.0065828786436803,2.204443748574203,0.5619514728507317
2094,0.9647058823529412,3.00888718109153,2.2117233014564612,0.570163934229349
2095,0.9705882352941176,3.011201462127104,2.2188759452254017,0.5783717310654846
2096,0.9764705882352941,3.0135256770026104,2.225904951999488,0.5865742521362841
2097,0.9823529411764707,3.0158597777800145,2.2328135134574203,0.5947709056356001
2098,0.9882352941176471,3.0182037137472277,2.2396047427377237,0.6029611186747091
2099,0.9941176470588236,3.020557431851616,2.246281676300863,0.6111443367950242
2100,1.0,3.0229208771575258,2.252847275755272,0.6193200234925534
