years,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2059,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,27.460000000000004,66.08000000000001,3.3000000000000003,3.1600000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
