years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2055,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
