variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
fuel.liquid_fuel_Refinery_utilization_ratio_array,"[100.          92.25131077  84.70379385  77.55862154  71.01696615
  65.28        60.47740308  56.45288615  52.97866769  49.82696615
  46.77        43.64955692  40.58570154  37.76806769  35.38628923
  33.63        32.61820923  32.18742769  32.10354154  32.13243692
  32.04        31.64648615  30.98962769  30.16152615  29.25428308
  28.36        27.55192615  26.82790154  26.16691385  25.54795077
  24.95       100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
fuel.liquid_fuel_FischerTropsch_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel_HefaDecarboxylation_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
fuel.hydrotreated_oil_fuel_HefaDeoxygenation_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
solid_fuel_CoalExtraction_utilization_ratio_array,"[ 98.57        95.22173662  91.69953908  87.82947323  83.43760492
  78.35        72.48481846  66.12859692  59.65996615  53.45755692
  47.9         43.28770954  39.60823323  36.77090215  34.68504738
  33.26        32.45402338  32.42111015  33.36418523  35.48617354
  38.99        43.97243692  50.10564615  56.95563692  64.08841846
  71.07        77.55822892  83.57830523  89.24726708  94.68215262
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
solid_fuel_Pelletizing_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_WindOffshore_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_WindOnshore_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_SolarPv_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
electricity_SolarThermal_utilization_ratio_array,[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.],True,"[True, True, True, True, True, True, True, True, True, True]"
