years,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2071,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
